"Type"	"TypeID"	"Field"	"Type"	"Required?"	"Description"
"elements"	"button"	"type"	"String"	"Yes"	"The type of element. In this case type is always button."
"elements"	"button"	"text"	"Object"	"Yes"	"A text object that defines the button's text. Can only be of type: plain_text. text may truncate with ~30 characters. Maximum length for the text in this field is 75 characters."
"elements"	"button"	"action_id"	"String"	"Yes"	"An identifier for this action. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"button"	"url"	"String"	"No"	"A URL to load in the user's browser when the button is clicked. Maximum length for this field is 3000 characters. If you're using url, you'll still receive an interaction payload and will need to send an acknowledgement response."
"elements"	"button"	"value"	"String"	"No"	"The value to send along with the interaction payload. Maximum length for this field is 2000 characters."
"elements"	"button"	"style"	"String"	"No"	"Decorates buttons with alternative visual color schemes. Use this option with restraint.primary gives buttons a green outline and text, ideal for affirmation or confirmation actions. primary should only be used for one button within a set.danger gives buttons a red outline and text, and should be used when the action is destructive. Use danger even more sparingly than primary.If you don't include this field, the default button style will be used.The image above shows the three different style options."
"elements"	"button"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog after the button is clicked."
"elements"	"button"	"accessibility_label"	"String"	"No"	"A label for longer descriptive text about a button element. This label will be read out by screen readers instead of the button text object. Maximum length for this field is 75 characters."
"elements"	"checkboxes"	"type"	"String"	"Yes"	"The type of element. In this case type is always checkboxes."
"elements"	"checkboxes"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when the checkbox group is changed. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"checkboxes"	"options"	"Object[]"	"Yes"	"An array of option objects. A maximum of 10 options are allowed."
"elements"	"checkboxes"	"initial_options"	"Object[]"	"No"	"An array of option objects that exactly matches one or more of the options within options. These options will be selected when the checkbox group initially loads."
"elements"	"checkboxes"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after clicking one of the checkboxes in this element."
"elements"	"checkboxes"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"datepicker"	"type"	"String"	"Yes"	"The type of element. In this case type is always datepicker."
"elements"	"datepicker"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"datepicker"	"initial_date"	"String"	"No"	"The initial date that is selected when the element is loaded. This should be in the format YYYY-MM-DD."
"elements"	"datepicker"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a date is selected."
"elements"	"datepicker"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"datepicker"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the datepicker. Maximum length for the text in this field is 150 characters."
"elements"	"datetimepicker"	"type"	"String"	"Yes"	"The type of element. In this case type is always datetimepicker."
"elements"	"datetimepicker"	"action_id"	"String"	"Yes"	"An identifier for the input value when the parent modal is submitted. You can use this when you receive a view_submission payload to identify the value of the input element. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"datetimepicker"	"initial_date_time"	"Integer"	"No"	"The initial date and time that is selected when the element is loaded, represented as a UNUIX timestamp in seconds. This should be in the format of 10 digits, for example 1628633820 represents the date and time August 10th, 2021 at 03:17pm PST."
"elements"	"datetimepicker"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears after a time is selected."
"elements"	"datetimepicker"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"email_text_input"	"type"	"String"	"Yes"	"The type of element. In this case type is always email_text_input."
"elements"	"email_text_input"	"action_id"	"String"	"Yes"	"An identifier for the input value when the parent modal is submitted. You can use this when you receive a view_submission payload to identify the value of the input element. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"email_text_input"	"initial_value"	"String"	"No"	"The initial value in the email input when it is loaded."
"elements"	"email_text_input"	"dispatch_action_config"	"Object"	"No"	"A dispatch configuration object that determines when during text input the element returns a block_actions payload."
"elements"	"email_text_input"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"email_text_input"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown in the email input. Maximum length for the text in this field is 150 characters."
"elements"	"image"	"type"	"String"	"Yes"	"The type of element. In this case type is always image."
"elements"	"image"	"image_url"	"String"	"Yes"	"The URL of the image to be displayed."
"elements"	"image"	"alt_text"	"String"	"Yes"	"A plain-text summary of the image. This should not contain any markup."
"elements"	"multi_static_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always multi_static_select."
"elements"	"multi_static_select"	"action_id"	"String"	"Yes"	"An identifier for the action triggered when a menu option is selected. You can use this when you receive an interaction payload to identify the source of the action. Should be unique among all other action_ids in the containing block. Maximum length for this field is 255 characters."
"elements"	"multi_static_select"	"options"	"Object[]"	"Yes"	"An array of option objects. Maximum number of options is 100. If option_groups is specified, this field should not be."
"elements"	"multi_static_select"	"option_groups"	"Object[]"	"No"	"An array of option group objects. Maximum number of option groups is 100. If options is specified, this field should not be."
"elements"	"multi_static_select"	"initial_options"	"Object[]"	"No"	"An array of option objects that exactly match one or more of the options within options or option_groups. These options will be selected when the menu initially loads."
"elements"	"multi_static_select"	"confirm"	"Object"	"No"	"A confirm object that defines an optional confirmation dialog that appears before the multi-select choices are submitted."
"elements"	"multi_static_select"	"max_selected_items"	"Integer"	"No"	"Specifies the maximum number of items that can be selected in the menu. Minimum number is 1."
"elements"	"multi_static_select"	"focus_on_load"	"Boolean"	"No"	"Indicates whether the element will be set to auto focus within the view object. Only one element can be set to true. Defaults to false."
"elements"	"multi_static_select"	"placeholder"	"Object"	"No"	"A plain_text only text object that defines the placeholder text shown on the menu. Maximum length for the text in this field is 150 characters."
"elements"	"multi_external_select"	"type"	"String"	"Yes"	"The type of element. In this case type is always multi_external_select."
