"Type"	"TypeID"	"Field"	"Type"	"Required?"	"Description"
"blocks"	"actions"	"type"	"String"	"Yes"	"The type of block. For an actions block, type is always actions."
"blocks"	"actions"	"elements"	"Object[]"	"Yes"	"An array of interactive element objects - buttons, select menus, overflow menus, or date pickers. There is a maximum of 25 elements in each action block."
"blocks"	"actions"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, a block_id will be generated. You can use this block_id when you receive an interaction payload to identify the source of the action. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"context"	"type"	"String"	"Yes"	"The type of block. For a context block, type is always context."
"blocks"	"context"	"elements"	"Object[]"	"Yes"	"An array of image elements and text objects. Maximum number of items is 10."
"blocks"	"context"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"divider"	"type"	"String"	"Yes"	"The type of block. For a divider block, type is always divider."
"blocks"	"divider"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"file"	"type"	"String"	"Yes"	"The type of block. For a file block, type is always file."
"blocks"	"file"	"external_id"	"String"	"Yes"	"The external unique ID for this file."
"blocks"	"file"	"source"	"String"	"Yes"	"At the moment, source will always be remote for a remote file."
"blocks"	"file"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"unknown"	"type"	"String"	"Yes"	"The type of block. For this block, type will always be header."
"blocks"	"unknown"	"text"	"Object"	"Yes"	"The text for the block, in the form of a plain_text text object. Maximum length for the text in this field is 150 characters."
"blocks"	"unknown"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"image"	"type"	"String"	"Yes"	"The type of block. For an image block, type is always image."
"blocks"	"image"	"image_url"	"String"	"Yes"	"The URL of the image to be displayed. Maximum length for this field is 3000 characters."
"blocks"	"image"	"alt_text"	"String"	"Yes"	"A plain-text summary of the image. This should not contain any markup. Maximum length for this field is 2000 characters."
"blocks"	"image"	"title"	"Object"	"No"	"An optional title for the image in the form of a text object that can only be of type: plain_text. Maximum length for the text in this field is 2000 characters."
"blocks"	"image"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"input"	"type"	"String"	"Yes"	"The type of block. For an input block, type is always input."
"blocks"	"input"	"label"	"Object"	"Yes"	"A label that appears above an input element in the form of a text object that must have type of plain_text. Maximum length for the text in this field is 2000 characters."
"blocks"	"input"	"element"	"Object"	"Yes"	"A plain-text input element, a checkbox element, a radio button element, a select menu element, a multi-select menu element, or a datepicker."
"blocks"	"input"	"dispatch_action"	"Boolean"	"No"	"A boolean that indicates whether or not the use of elements in this block should dispatch a block_actions payload. Defaults to false."
"blocks"	"input"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message or view and each iteration of a message or view. If a message or view is updated, use a new block_id."
"blocks"	"input"	"hint"	"Object"	"No"	"An optional hint that appears below an input element in a lighter grey. It must be a text object with a type of plain_text. Maximum length for the text in this field is 2000 characters."
"blocks"	"input"	"optional"	"Boolean"	"No"	"A boolean that indicates whether the input element may be empty when a user submits the modal. Defaults to false."
"blocks"	"unknown"	"type"	"String"	"Yes"	"The type of block. For a section block, type will always be section."
"blocks"	"unknown"	"text"	"Object"	"Preferred"	"The text for the block, in the form of a text object. Maximum length for the text in this field is 3000 characters. This field is not required if a valid array of fields objects is provided instead."
"blocks"	"unknown"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. You can use this block_id when you receive an interaction payload to identify the source of the action. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"unknown"	"fields"	"Object[]"	"Maybe"	"Required if no text is provided. An array of text objects. Any text objects included with fields will be rendered in a compact format that allows for 2 columns of side-by-side text. Maximum number of items is 10. Maximum length for the text in each item is 2000 characters. Click here for an example."
"blocks"	"unknown"	"accessory"	"Object"	"No"	"One of the available element objects."
"blocks"	"unknown"	"alt_text"	"string"	"Yes"	"A tooltip for the video. Required for accessibility"
"blocks"	"unknown"	"author_name"	"string"	"No"	"Author name to be displayed. Must be less than 50 characters."
"blocks"	"unknown"	"block_id"	"String"	"No"	"A string acting as a unique identifier for a block. If not specified, one will be generated. Maximum length for this field is 255 characters. block_id should be unique for each message and each iteration of a message. If a message is updated, use a new block_id."
"blocks"	"unknown"	"description"	"Object"	"Preferred"	"Description for video in plain text format."
"blocks"	"unknown"	"provider_icon_url"	"string"	"No"	"Icon for the video provider - ex. Youtube icon"
"blocks"	"unknown"	"provider_name"	"string"	"No"	"The originating application or domain of the video  ex. Youtube"
"blocks"	"unknown"	"title"	"Object"	"Yes"	"Video title in plain text format. Must be less than 200 characters."
"blocks"	"unknown"	"title_url"	"string"	"Preferred"	"Hyperlink for the title text. Must correspond to the non-embeddable URL for the video. Must go to an HTTPS URL."
"blocks"	"unknown"	"thumbnail_url"	"string"	"Yes"	"The thumbnail image URL"
"blocks"	"unknown"	"video_url"	"string"	"Yes"	"The URL to be embedded. Must match any existing unfurl domains within the app and point to a HTTPS URL."
